gender,age,race,highest education,education field,occupation,tech experience,cyber experience,adopt based on security expert advice,design
Man,25-29 years old,White,Four-year College Degree,Other areas of Engineering,Business or industry,Formal training,Formal training,4,reflection
Man,25-29 years old,Asian,Four-year College Degree,"Computer Science/Engineering, and Information Technology (IT)",Business or industry,Formal training,Formal training,6,conversation
Man,60-64 years old,White,Four-year College Degree,"Mathematics, and Natural Sciences (Physics, Chemistry, Biology)",Business or industry,Self-taught,No experience,7,reflection
Man,40-44 years old,White,High School Graduate,"Architecture, Design, and Arts",Business or industry,Self-taught,No experience,7,infographics
Man,25-29 years old,White,Four-year College Degree,Education,Educational institution,Pursuing or completed a degree,Pursuing or completed a degree,5,onlinechat
Man,25-29 years old,Asian,Four-year College Degree,"Computer Science/Engineering, and Information Technology (IT)",Business or industry,Hold or held a work position,Hold or held a work position,6,reflection
Woman,30-34 years old,White,Graduate degree (MS/Doctorate),Business,Business or industry,No experience,No experience,7,infographics
Man,Above 65 years old,White,Graduate degree (MS/Doctorate),"Computer Science/Engineering, and Information Technology (IT)",Patrol officer,Pursuing or completed a degree,Pursuing or completed a degree,7,reflection
Woman,30-34 years old,White,Four-year College Degree,I prefer not to answer,Business or industry,No experience,No experience,6,conversation
Man,30-34 years old,Asian,I prefer not to answer,"Computer Science/Engineering, and Information Technology (IT)",Business or industry,Hold or held a work position,I prefer not to answer,4,reflection
Woman,25-29 years old,White,Four-year College Degree,"Computer Science/Engineering, and Information Technology (IT)",Business or industry,Pursuing or completed a degree,No experience,6,onlinechat
Man,50-54 years old,White,Graduate degree (MS/Doctorate),"Computer Science/Engineering, and Information Technology (IT)",Business or industry,Formal training,Formal training,6,reflection
Woman,50-54 years old,White,Four-year College Degree,"Economics, Humanities and Social Sciences",Business or industry,Self-taught,Self-taught,6,conversation
Man,30-34 years old,White,Four-year College Degree,"Medicine, Nursing, and Health Sciences",Business or industry,Self-taught,Self-taught,5,infographics
Man,25-29 years old,White,Four-year College Degree,"Architecture, Design, and Arts",Educational institution,Formal training,Formal training,6,conversation
Man,35-39 years old,White,High School Graduate,I prefer not to answer,I prefer not to answer,Self-taught,Self-taught,6,onlinechat
Man,40-44 years old,White,Four-year College Degree,"Computer Science/Engineering, and Information Technology (IT)",Business or industry,Hold or held a work position,Hold or held a work position,7,infographics
Man,25-29 years old,Asian,Four-year College Degree,"Computer Science/Engineering, and Information Technology (IT)",Non-profit organization,Self-taught,Self-taught,6,infographics
Man,25-29 years old,Asian,Four-year College Degree,"Computer Science/Engineering, and Information Technology (IT)",Business or industry,Self-taught,Formal training,5,infographics
Man,30-34 years old,White,Four-year College Degree,"Computer Science/Engineering, and Information Technology (IT)",Non-profit organization,Hold or held a work position,Pursuing or completed a degree,6,reflection
Man,25-29 years old,White,Four-year College Degree,"Computer Science/Engineering, and Information Technology (IT)",Business or industry,Hold or held a work position,Hold or held a work position,7,reflection
Man,35-39 years old,White,Four-year College Degree,"Computer Science/Engineering, and Information Technology (IT)",Business or industry,Pursuing or completed a degree,Pursuing or completed a degree,7,onlinechat
Man,25-29 years old,Hispanic or Latino,Two-year College Degree,"Economics, Humanities and Social Sciences",Business or industry,Self-taught,No experience,7,onlinechat
Man,45-49 years old,White,Four-year College Degree,Agriculture,Business or industry,Self-taught,No experience,7,reflection
Man,40-44 years old,White,Four-year College Degree,"Computer Science/Engineering, and Information Technology (IT)",Business or industry,Hold or held a work position,Formal training,4,onlinechat
Woman,45-49 years old,White,Two-year College Degree,"Computer Science/Engineering, and Information Technology (IT)",Click Work,Pursuing or completed a degree,No experience,7,conversation
Man,30-34 years old,White,Graduate degree (MS/Doctorate),"Computer Science/Engineering, and Information Technology (IT)",Business or industry,No experience,No experience,7,onlinechat
Man,Above 65 years old,Black or African American,Four-year College Degree,Business,Business or industry,Hold or held a work position,Hold or held a work position,6,reflection
Man,50-54 years old,White,Graduate degree (MS/Doctorate),Agriculture,Educational institution,No experience,Self-taught,6,reflection
Man,45-49 years old,Asian,Graduate degree (MS/Doctorate),"Mathematics, and Natural Sciences (Physics, Chemistry, Biology)",Non-profit organization,Self-taught,Self-taught,6,infographics
Man,50-54 years old,White,Graduate degree (MS/Doctorate),"Economics, Humanities and Social Sciences",Educational institution,Self-taught,Self-taught,6,infographics
Man,50-54 years old,"White,Native American or American Indian",Four-year College Degree,"Mathematics, and Natural Sciences (Physics, Chemistry, Biology)",unemployed,Formal training,Self-taught,5,onlinechat
Woman,35-39 years old,White,Two-year College Degree,"Economics, Humanities and Social Sciences",Business or industry,Self-taught,Self-taught,7,infographics
Man,45-49 years old,White,Four-year College Degree,"Law, and Public Administration",Business or industry,Hold or held a work position,No experience,7,reflection
Man,35-39 years old,White,Four-year College Degree,"Computer Science/Engineering, and Information Technology (IT)",Business or industry,Formal training,Self-taught,6,conversation
Man,40-44 years old,White,Four-year College Degree,Other areas of Engineering,Business or industry,Formal training,No experience,7,conversation
Woman,35-39 years old,White,Four-year College Degree,"Computer Science/Engineering, and Information Technology (IT)",Educational institution,Hold or held a work position,Self-taught,7,conversation
Man,55-59 years old,White,Graduate degree (MS/Doctorate),Business,Business or industry,Hold or held a work position,No experience,6,reflection
Man,30-34 years old,"White,Asian",Four-year College Degree,"Computer Science/Engineering, and Information Technology (IT)",Non-profit organization,Hold or held a work position,Formal training,7,infographics
Man,35-39 years old,Black or African American,Graduate degree (MS/Doctorate),"Law, and Public Administration",Business or industry,Pursuing or completed a degree,No experience,7,infographics
Woman,30-34 years old,White,Four-year College Degree,"Computer Science/Engineering, and Information Technology (IT)",Business or industry,Hold or held a work position,Hold or held a work position,7,onlinechat
Man,25-29 years old,White,High School Graduate,I prefer not to answer,I prefer not to answer,Self-taught,No experience,6,infographics
Man,Above 65 years old,Asian,"3 years college, no degree","Mathematics, and Natural Sciences (Physics, Chemistry, Biology)",Transportation,Self-taught,No experience,7,reflection
Man,25-29 years old,White,Four-year College Degree,"Computer Science/Engineering, and Information Technology (IT)",Business or industry,Pursuing or completed a degree,Formal training,6,infographics
Woman,45-49 years old,Hispanic or Latino,Two-year College Degree,"Economics, Humanities and Social Sciences",Business or industry,Self-taught,Self-taught,6,onlinechat
Woman,35-39 years old,White,Four-year College Degree,"Computer Science/Engineering, and Information Technology (IT)",Business or industry,Hold or held a work position,Hold or held a work position,6,reflection
Man,40-44 years old,Pacific Islander,Four-year College Degree,Business,Business or industry,Self-taught,Self-taught,5,reflection
Man,30-34 years old,White,Four-year College Degree,"Architecture, Design, and Arts",Business or industry,Self-taught,Self-taught,6,onlinechat
Woman,30-34 years old,White,Four-year College Degree,"Computer Science/Engineering, and Information Technology (IT)",Business or industry,Pursuing or completed a degree,Self-taught,6,onlinechat
Woman,25-29 years old,White,Four-year College Degree,"Computer Science/Engineering, and Information Technology (IT)",Government,Formal training,Formal training,6,reflection
Man,25-29 years old,Hispanic or Latino,High School Graduate,I prefer not to answer,Business or industry,No experience,No experience,7,infographics
Man,35-39 years old,White,Graduate degree (MS/Doctorate),"Economics, Humanities and Social Sciences",Business or industry,Self-taught,No experience,6,conversation
I prefer not to answer,I prefer not to answer,I prefer not to answer,I prefer not to answer,I prefer not to answer,I prefer not to answer,Self-taught,Self-taught,4,infographics
Woman,55-59 years old,White,Two-year College Degree,"Computer Science/Engineering, and Information Technology (IT)",Business or industry,Pursuing or completed a degree,No experience,7,onlinechat
Man,30-34 years old,White,Four-year College Degree,Business,Business or industry,Self-taught,No experience,7,reflection
Man,60-64 years old,White,Two-year College Degree,Automotive Technology,Business or industry,Self-taught,Self-taught,6,onlinechat
Woman,35-39 years old,White,Two-year College Degree,Business,freelancer,Self-taught,Self-taught,7,infographics
Man,25-29 years old,White,Graduate degree (MS/Doctorate),"Computer Science/Engineering, and Information Technology (IT)",Business or industry,Pursuing or completed a degree,Self-taught,6,conversation
Woman,40-44 years old,Black or African American,High School Graduate,none,Business or industry,Self-taught,No experience,7,infographics
Man,25-29 years old,Asian,Four-year College Degree,"Computer Science/Engineering, and Information Technology (IT)",Government,Pursuing or completed a degree,Hold or held a work position,7,conversation
Woman,30-34 years old,White,Four-year College Degree,Business,Business or industry,Formal training,No experience,7,conversation
Man,25-29 years old,White,Four-year College Degree,"Economics, Humanities and Social Sciences",Business or industry,Self-taught,Self-taught,5,conversation
Man,18-24 years old,White,Graduate degree (MS/Doctorate),"Computer Science/Engineering, and Information Technology (IT)",Business or industry,No experience,No experience,7,onlinechat
Man,25-29 years old,Asian,Four-year College Degree,"Computer Science/Engineering, and Information Technology (IT)",Business or industry,Formal training,Self-taught,6,infographics
Woman,40-44 years old,White,Graduate degree (MS/Doctorate),Business,retail,Self-taught,No experience,6,reflection
Man,25-29 years old,White,Four-year College Degree,"Architecture, Design, and Arts",Business or industry,Formal training,Pursuing or completed a degree,6,infographics
Man,25-29 years old,Asian,Four-year College Degree,"Computer Science/Engineering, and Information Technology (IT)",Business or industry,Hold or held a work position,Hold or held a work position,6,onlinechat
Man,40-44 years old,White,Four-year College Degree,"Mathematics, and Natural Sciences (Physics, Chemistry, Biology)",musician and online scrounger,No experience,No experience,7,infographics
Woman,Above 65 years old,White,Four-year College Degree,Education,Educational institution,Self-taught,Self-taught,7,conversation
Man,30-34 years old,"White,Black or African American",Graduate degree (MS/Doctorate),Business,Business or industry,Self-taught,Self-taught,6,conversation
Man,50-54 years old,White,Four-year College Degree,"Law, and Public Administration",Business or industry,Self-taught,Formal training,6,onlinechat
Man,30-34 years old,White,Four-year College Degree,"Computer Science/Engineering, and Information Technology (IT)",Business or industry,Pursuing or completed a degree,Pursuing or completed a degree,6,infographics
Man,25-29 years old,White,Four-year College Degree,"Economics, Humanities and Social Sciences",Educational institution,Pursuing or completed a degree,Pursuing or completed a degree,6,infographics
Man,25-29 years old,Asian,Four-year College Degree,"Computer Science/Engineering, and Information Technology (IT)",Business or industry,Formal training,Formal training,5,conversation
Woman,25-29 years old,White,Four-year College Degree,"Computer Science/Engineering, and Information Technology (IT)",Business or industry,Pursuing or completed a degree,No experience,7,onlinechat
Man,25-29 years old,Asian,Four-year College Degree,"Computer Science/Engineering, and Information Technology (IT)",Business or industry,Pursuing or completed a degree,No experience,7,onlinechat
Man,25-29 years old,Black or African American,Four-year College Degree,"Computer Science/Engineering, and Information Technology (IT)",Non-profit organization,Formal training,Formal training,7,onlinechat
Woman,35-39 years old,White,Four-year College Degree,"Journalism, Media and Communication",Business or industry,Self-taught,Self-taught,2,infographics
Man,25-29 years old,"White,Hispanic or Latino",Two-year College Degree,"Architecture, Design, and Arts",Business or industry,Self-taught,Self-taught,3,conversation
Man,25-29 years old,White,Graduate degree (MS/Doctorate),"Medicine, Nursing, and Health Sciences",Business or industry,Formal training,Formal training,6,reflection
Man,30-34 years old,White,Four-year College Degree,Education,Educational institution,No experience,No experience,5,infographics
Man,35-39 years old,White,Four-year College Degree,"Mathematics, and Natural Sciences (Physics, Chemistry, Biology)",Business or industry,Hold or held a work position,Self-taught,6,reflection
Woman,30-34 years old,Native American or American Indian,Graduate degree (MS/Doctorate),"Mathematics, and Natural Sciences (Physics, Chemistry, Biology)",Educational institution,Pursuing or completed a degree,Self-taught,7,conversation
Man,45-49 years old,White,Four-year College Degree,Business,Business or industry,Self-taught,No experience,6,conversation
